Date,State of charge
2012-02-20 18:14:00,33
2012-02-20 23:06:00,100
2012-02-21 07:23:00,100
2012-02-21 07:47:00,74
2012-02-21 17:54:00,74
2012-02-21 18:19:00,46
2012-02-21 18:19:00,46
2012-02-21 22:29:00,100
2012-02-22 07:14:00,100
2012-02-22 07:39:00,74
2012-02-22 14:52:00,74
2012-02-22 15:00:00,72
2012-02-22 16:30:00,72
2012-02-22 16:54:00,51
2012-02-22 17:35:00,51
2012-02-22 17:37:00,51
2012-02-22 17:42:00,51
2012-02-22 17:48:00,46
2012-02-22 17:48:00,46
2012-02-22 22:01:00,100
2012-02-23 07:19:00,100
2012-02-23 07:55:00,65
2012-02-23 18:41:00,65
2012-02-23 19:06:00,36
2012-02-23 19:25:00,36
2012-02-23 19:28:00,34
2012-02-23 19:45:00,34
2012-02-23 19:49:00,31
2012-02-23 22:11:00,31
2012-02-23 22:16:00,27
2012-02-24 07:06:00,98
2012-02-24 07:15:00,92
2012-02-24 15:27:00,92
2012-02-24 15:35:00,84
2012-02-24 16:35:00,84
2012-02-24 16:39:00,81
2012-02-24 16:46:00,81
2012-02-24 16:50:00,78
2012-02-24 17:01:00,78
2012-02-24 17:05:00,74
2012-02-24 22:16:00,27
2012-02-25 03:39:00,99
2012-02-26 12:22:00,74
2012-02-26 12:38:00,60
2012-02-26 17:41:00,60
2012-02-26 17:45:00,59
2012-02-26 18:05:00,59
2012-02-26 18:11:00,56
2012-02-26 18:14:00,56
2012-02-26 21:57:00,100
2012-02-27 07:21:00,100
2012-02-27 07:44:00,74
2012-02-27 16:30:00,74
2012-02-27 16:41:00,68
2012-02-27 16:48:00,68
2012-02-27 16:54:00,66
2012-02-27 17:01:00,66
2012-02-27 17:04:00,63
2012-02-27 17:42:00,63
2012-02-27 18:12:00,32
2012-02-28 16:47:00,74
2012-02-28 17:09:00,53
2012-02-28 18:21:00,53
2012-02-28 18:28:00,48
2012-02-28 18:30:00,48
2012-02-28 22:33:00,100
2012-02-28 23:00:00,32
2012-02-29 04:01:00,100
2012-02-29 07:07:00,100
2012-02-29 07:31:00,72
2012-02-29 16:50:00,72
2012-02-29 17:21:00,43
2012-02-29 17:21:00,43
2012-02-29 21:37:00,100
2012-03-01 07:11:00,100
2012-03-01 07:19:00,93
2012-03-01 16:23:00,93
2012-03-01 16:31:00,86
2012-03-01 16:46:00,85
2012-03-01 16:51:00,84
2012-03-01 17:02:00,84
2012-03-01 17:07:00,82
2012-03-01 17:19:00,82
2012-03-01 17:22:00,80
2012-03-01 17:39:00,80
2012-03-01 17:42:00,79
2012-03-01 18:00:00,79
2012-03-01 18:03:00,77
2012-03-01 18:29:00,77
2012-03-01 20:38:00,100
2012-03-02 07:03:00,100
2012-03-02 07:11:00,94
2012-03-02 15:27:00,94
2012-03-02 15:35:00,90
2012-03-02 15:47:00,90
2012-03-02 16:57:00,99
2012-03-02 17:59:00,99
2012-03-02 18:33:00,69
2012-03-02 18:35:00,69
2012-03-02 18:40:00,67
2012-03-03 13:25:00,66
2012-03-03 14:01:00,34
2012-03-04 09:01:00,34
2012-03-04 14:01:00,100
2012-03-05 07:37:00,99
2012-03-05 08:02:00,67
2012-03-05 16:58:00,67
2012-03-05 17:08:00,64
2012-03-05 17:13:00,64
2012-03-05 17:18:00,62
2012-03-05 17:35:00,62
2012-03-05 17:56:00,44
2012-03-05 18:15:00,44
2012-03-05 18:28:00,31
2012-03-05 18:28:00,31
2012-03-05 23:32:00,100
2012-03-06 09:17:00,100
2012-03-06 09:44:00,64
2012-03-06 12:07:00,64
2012-03-06 12:14:00,61
2012-03-06 17:17:00,61
2012-03-06 17:40:00,36
2012-03-06 17:40:00,36
2012-03-06 22:23:00,100
2012-03-07 07:33:00,100
2012-03-07 07:55:00,74
2012-03-07 17:17:00,74
2012-03-07 17:41:00,50
2012-03-07 17:42:00,50
2012-03-07 21:43:00,100
2012-03-08 07:47:00,100
2012-03-08 08:10:00,76
2012-03-08 17:59:00,76
2012-03-08 18:20:00,50
2012-03-08 18:21:00,50
2012-03-08 22:15:00,100
2012-03-09 07:22:00,100
2012-03-09 07:46:00,75
2012-03-09 13:58:00,75
2012-03-09 14:21:00,52
2012-03-10 15:50:00,52
2012-03-10 15:53:00,51
2012-03-10 21:31:00,51
2012-03-10 21:39:00,41
2012-03-11 07:30:00,40
2012-03-11 07:36:00,37
2012-03-11 07:40:00,37
2012-03-11 07:43:00,35
2012-03-11 12:52:00,35
2012-03-11 17:39:00,100
2012-03-12 07:27:00,100
2012-03-12 08:05:00,68
2012-03-12 08:05:00,68
2012-03-12 08:06:00,68
2012-03-12 16:59:00,68
2012-03-12 17:16:00,63
2012-03-12 17:33:00,63
2012-03-12 17:38:00,62
2012-03-12 17:41:00,62
2012-03-12 17:49:00,57
2012-03-12 17:54:00,57
2012-03-12 18:22:00,29
2012-03-12 18:24:00,29
2012-03-12 23:36:00,99
2012-03-13 07:18:00,99
2012-03-13 07:43:00,77
2012-03-13 11:38:00,77
2012-03-13 11:54:00,71
2012-03-13 12:11:00,71
2012-03-13 12:21:00,69
2012-03-13 12:26:00,69
2012-03-13 12:31:00,66
2012-03-13 16:30:00,66
2012-03-13 16:59:00,42
2012-03-13 17:16:00,42
2012-03-13 17:24:00,39
2012-03-13 17:33:00,39
2012-03-13 21:57:00,100
2012-03-14 07:17:00,100
2012-03-14 07:52:00,69
2012-03-14 17:24:00,69
2012-03-14 17:46:00,44
2012-03-14 17:48:00,44
2012-03-14 22:01:00,100
2012-03-15 07:10:00,100
2012-03-15 07:34:00,70
2012-03-15 17:41:00,70
2012-03-15 18:03:00,46
2012-03-15 21:31:00,46
2012-03-15 21:38:00,40
2012-03-16 14:47:00,100
2012-03-16 14:51:00,99
2012-03-16 14:58:00,98
2012-03-16 15:02:00,97
2012-03-16 17:20:00,97
2012-03-16 17:23:00,96
2012-03-16 17:23:00,96
2012-03-16 17:28:00,94
2012-03-16 17:30:00,94
2012-03-16 17:59:00,63
2012-03-16 21:39:00,40
2012-03-16 23:18:00,62
2012-03-16 23:52:00,32
2012-03-16 23:59:00,32
2012-03-17 00:08:00,26
2012-03-17 00:09:00,26
2012-03-17 02:04:00,100
2012-03-17 05:16:00,100
2012-03-17 14:43:00,100
2012-03-17 14:48:00,98
2012-03-17 15:51:00,98
2012-03-17 15:55:00,97
2012-03-17 15:58:00,97
2012-03-17 16:01:00,96
2012-03-18 04:30:00,96
2012-03-18 04:37:00,95
2012-03-18 08:08:00,95
2012-03-18 08:11:00,92
2012-03-18 08:15:00,92
2012-03-18 08:18:00,90
2012-03-18 14:12:00,90
2012-03-18 14:17:00,87
2012-03-18 15:52:00,87
2012-03-18 15:59:00,82
2012-03-19 07:09:00,82
2012-03-19 07:33:00,55
2012-03-19 16:38:00,55
2012-03-19 17:01:00,28
2012-03-19 17:01:00,28
2012-03-19 22:16:00,99
2012-03-20 07:37:00,99
2012-03-20 08:00:00,76
2012-03-20 09:56:00,76
2012-03-20 10:01:00,74
2012-03-20 10:41:00,74
2012-03-20 10:43:00,73
2012-03-20 11:08:00,73
2012-03-20 11:14:00,71
2012-03-20 16:36:00,71
2012-03-20 16:58:00,47
2012-03-20 17:00:00,47
2012-03-20 17:04:00,46
2012-03-20 18:03:00,46
2012-03-20 18:08:00,42
2012-03-20 18:09:00,42
2012-03-20 22:23:00,100
2012-03-21 07:11:00,100
2012-03-21 07:33:00,75
2012-03-21 18:25:00,75
2012-03-21 18:46:00,50
2012-03-21 20:39:00,50
2012-03-22 00:20:00,100
2012-03-22 07:17:00,100
2012-03-22 07:53:00,65
2012-03-22 15:24:00,65
2012-03-22 15:37:00,59
2012-03-22 16:03:00,59
2012-03-22 16:30:00,37
2012-03-22 16:39:00,37
2012-03-22 16:43:00,36
2012-03-22 18:04:00,36
2012-03-22 18:09:00,34
2012-03-22 18:09:00,34
2012-03-22 22:44:00,100
2012-03-23 07:12:00,100
2012-03-23 07:46:00,66
2012-03-23 11:28:00,66
2012-03-23 11:36:00,63
2012-03-23 11:44:00,63
2012-03-23 11:53:00,60
2012-03-23 13:09:00,60
2012-03-23 13:23:00,56
2012-03-23 14:15:00,56
2012-03-23 14:45:00,34
2012-03-23 16:15:00,34
2012-03-23 16:20:00,33
2012-03-23 16:28:00,33
2012-03-23 16:30:00,32
2012-03-23 16:32:00,32
2012-03-23 16:36:00,32
2012-03-23 17:11:00,32
2012-03-23 17:15:00,30
2012-03-23 20:40:00,30
2012-03-23 20:43:00,29
2012-03-23 21:31:00,29
2012-03-23 21:33:00,29
2012-03-23 21:37:00,29
2012-03-23 21:43:00,27
2012-03-24 11:47:00,27
2012-03-24 11:51:00,25
2012-03-24 12:16:00,25
2012-03-24 12:20:00,24
2012-03-24 12:24:00,24
2012-03-24 12:26:00,23
2012-03-24 12:55:00,23
2012-03-24 12:58:00,23
2012-03-24 14:07:00,23
2012-03-24 14:09:00,22
2012-03-24 14:12:00,22
2012-03-24 14:15:00,21
2012-03-24 14:16:00,21
2012-03-24 14:28:00,20
2012-03-24 14:28:00,20
2012-03-24 20:06:00,100
2012-03-25 07:50:00,100
2012-03-25 07:55:00,98
2012-03-25 07:59:00,98
2012-03-25 08:02:00,97
2012-03-25 09:52:00,97
2012-03-25 09:53:00,97
2012-03-25 10:29:00,97
2012-03-25 10:29:00,97
2012-03-25 15:46:00,97
2012-03-25 15:50:00,96
2012-03-25 21:29:00,96
2012-03-25 21:32:00,95
2012-03-26 07:38:00,95
2012-03-26 08:01:00,64
2012-03-26 16:57:00,64
2012-03-26 17:09:00,60
2012-03-26 17:13:00,60
2012-03-26 17:18:00,59
2012-03-26 17:30:00,59
2012-03-26 17:35:00,58
2012-03-26 17:45:00,58
2012-03-26 18:13:00,35
2012-03-26 20:02:00,35
2012-03-26 20:09:00,32
2012-03-26 21:09:00,32
2012-03-26 21:17:00,27
2012-03-27 10:56:00,99
2012-03-27 11:00:00,98
2012-03-27 11:02:00,98
2012-03-27 11:05:00,97
2012-03-27 11:44:00,97
2012-03-27 11:53:00,91
2012-03-27 11:58:00,91
2012-03-27 11:59:00,91
2012-03-27 12:12:00,91
2012-03-27 12:21:00,83
2012-03-27 15:45:00,78
2012-03-27 15:54:00,69
2012-03-27 16:13:00,63
2012-03-27 16:14:00,63
2012-03-27 16:27:00,63
2012-03-27 16:37:00,56
2012-03-27 16:50:00,56
2012-03-27 16:52:00,55
2012-03-27 17:00:00,55
2012-03-27 17:02:00,54
2012-03-27 17:33:00,54
2012-03-27 21:01:00,100
2012-03-27 21:17:00,27
2012-03-28 02:32:00,99
2012-03-28 07:08:00,100
2012-03-28 07:31:00,76
2012-03-28 16:53:00,76
2012-03-28 17:15:00,51
2012-03-29 06:35:00,51
2012-03-29 06:58:00,27
2012-03-29 09:49:00,27
2012-03-29 09:51:00,27
2012-03-29 09:51:00,27
2012-03-29 16:17:00,100
2012-03-29 16:18:00,100
2012-03-29 16:43:00,75
2012-03-30 07:16:00,75
2012-03-30 07:42:00,45
2012-03-30 07:42:00,45
2012-03-30 07:50:00,42
2012-03-30 15:52:00,42
2012-03-30 16:25:00,11
2012-03-30 16:25:00,11
2012-03-30 22:18:00,100
2012-03-31 08:03:00,100
2012-03-31 08:24:00,74
2012-03-31 19:24:00,74
2012-03-31 19:45:00,48
2012-03-31 19:46:00,48
2012-03-31 23:41:00,100
2012-04-01 07:57:00,100
2012-04-01 08:15:00,72
2012-04-01 08:17:00,72
2012-04-01 08:20:00,71
2012-04-01 18:34:00,71
2012-04-01 18:37:00,70
2012-04-01 18:44:00,70
2012-04-01 19:06:00,41
2012-04-01 19:06:00,41
2012-04-01 23:43:00,99
2012-04-03 07:31:00,99
2012-04-03 07:34:00,98
2012-04-03 07:37:00,98
2012-04-03 07:43:00,94
2012-04-03 11:10:00,94
2012-04-03 11:18:00,89
2012-04-04 06:40:00,89
2012-04-04 06:47:00,84
2012-04-04 14:11:00,80
2012-04-04 14:14:00,78
2012-04-04 14:25:00,78
2012-04-04 14:28:00,78
2012-04-04 14:34:00,78
2012-04-04 14:35:00,78
2012-04-04 14:46:00,78
2012-04-04 14:49:00,77
2012-04-04 15:18:00,77
2012-04-04 15:20:00,76
2012-04-04 15:56:00,76
2012-04-04 16:00:00,74
2012-04-05 10:07:00,74
2012-04-05 10:07:00,74
2012-04-07 10:17:00,74
2012-04-07 10:18:00,74
2012-04-08 15:53:00,100
